OP_UNIQUE_CARRIER,YEAR,delay_ratio,total_flights,delayed_flight_count,CARRIER_NAME
EV,2014,0.1630965002052935,652724,106457,ExpressJet Airlines LLC
NK,2015,0.1808166022831604,115454,20876,Spirit Air Lines
B6,2016,0.15311679366309355,278748,42681,JetBlue Airways
B6,2017,0.18674790031667354,290520,54254,JetBlue Airways
F9,2018,0.20257526758507124,117813,23866,Frontier Airlines Inc.
B6,2019,0.19994989108981767,195574,39105,JetBlue Airways
