YEAR,delay_ratio,MONTH,total_flights,delayed_flight_count
2014,0.1710059734342945,1,441622,75520
2015,0.150012419249635,6,495199,74286
2016,0.15362423952658694,7,493607,75830
2017,0.1443617199605866,6,489174,70618
2018,0.14610842777520472,7,634782,92747
2019,0.16115664735716173,6,624045,100569
